id,keyword,translated
4,新冠肺炎疫情,COVID-19 Outbreak
4,新式武器,new weapon
4,条约解释,Treaty Interpretation
4,wto,wto
4,借鉴,learn from
4,“阿拉伯之春”,"""Arab Spring"""
4,数据主权,data sovereignty
4,苏联解体,collapse of the soviet union
4,网络主权,Cyber ​​Sovereignty
4,社会网络分析,social network analysis
4,德俄关系,German-Russian Relations
4,中亚地区,Central Asia
4,海外投资风险,Overseas investment risk
4,石油,oil
4,国家安全战略,national security strategy
4,北极航道,Arctic waterway
4,国家利益,national interest
4,三海倡议,Three Seas Initiative
4,关键信息基础设施,critical information infrastructure
4,无人装备,unmanned equipment
4,武装冲突法,law of armed conflict
4,安全例外条款,Security Exception
4,马克思主义,Marxism
4,中国形象,Chinese image
4,军事应用,military application
4,数据治理,data governance
4,双层博弈,two-tier game
4,对外政策,foreign policy
4,北方舰队,Northern Fleet
4,扩员,expansion
4,对外传播,external communication
4,印度,India
4,安全合作,security cooperation
4,习近平外交思想,Xi Jinping Thought on Diplomacy
4,特朗普,Trump
4,美国大选,US election
4,国际关系,international relations
4,东北亚,North-east Asia
4,基础设施,infrastructure
4,对外援助,foreign aid
4,冬奥会,Winter Olympics
2,国际能源秩序,international energy order
2,中东能源政策话语权,The right to speak on energy policy in the Middle East
2,“平衡外交”,"""Balanced Diplomacy"""
2,伊核协议,Iran nuclear deal
2,“印太战略”,"""Indo-Pacific Strategy"""
2,“印太经济框架”,"""Indo-Pacific Economic Framework"""
2,全球安全倡议,Global Security Initiative
2,安全观念,safety concept
2,多民族,Multi-ethnic
2,东方文化,Eastern culture
2,西方文化,Western culture
2,东正教,Orthodox Church
2,自然地理,physical geography
2,俄罗斯体育,Russian sports
2,国际主流媒体,International mainstream media
2,舆论主角,public opinion protagonist
2,理论视角,theoretical perspective
2,石油贸易格局,Oil trade pattern
2,制裁成本,Sanction cost
2,制裁路径,Sanctions Path
2,金融安全,financial security
2,军事冲突,military conflict
2,国家发展战略,national development strategy
2,人民币国际化,RMB internationalization
2,欧盟统计局,Eurostat
2,汽车零配件,automobile parts
2,国际秩序,international order
2,欧美关系,European and American relations
2,制裁,sanction
2,全球经济,Global economy
2,对华竞争,Competition with China
2,网络威慑,cyber deterrence
2,南太地区,South Pacific
2,战略平衡手,strategic balancer
2,粮食安全保障,food security
2,粮食进口,food import
2,研讨会综述,Workshop Summary
2,数字基础设施,digital infrastructure
2,自主可控,Autonomous and controllable
2,5-100计划,5-100 plan
2,优先-2030计划,Priority-2030 Plan
2,世界一流大学,world class university
2,军事安全,military security
2,形势,situation
2,人民币计价,RMB denominated
2,传统能源,Traditional energy
2,国际原油市场,International crude oil market
2,液体燃料,liquid fuel
2,iea,iea
2,一季度,the first quarter
2,美国外交政策,US foreign policy
2,自由国际秩序,liberal international order
2,西方国家,Western countries
2,国际清算银行,Bank for International Settlements
2,世界能源格局,world energy pattern
2,危机冲击,crisis shock
2,联合国,United Nations
2,生物安全法,Biosafety Act
2,生物威胁,biological threat
2,俄罗斯联邦,The Russian Federation
2,生物实验室,Biology laboratory
2,生物安全管理,Biosecurity Management
2,管理权限,Administrative rights
2,双面性,duality
2,生物技术,Biotechnology
2,新军事变革,new military revolution
2,特种作战部队,special operations forces
2,战争理论,war theory
2,格拉西莫夫,Gerasimov
2,发展与实践,development and practice
2,核武器,nuclear weapons
2,核力量,nuclear power
2,核威慑,nuclear deterrence
2,发展演变,Development and evolution
2,电子战系统,electronic warfare system
2,地缘政治矛盾,geopolitical conflict
2,价值观联盟,Values ​​Alliance
2,多极化趋势,Multipolar trend
2,生物安全设施,biosafety facility
2,预警遏制,early warning containment
2,生物恐怖,bioterrorism
2,出口商,exporter
2,俄罗斯能源,Russian energy
2,俄罗斯石油,Rosneft
2,俄罗斯国家认同,Russian national identity
2,互文性话语分析,Intertextual Discourse Analysis
2,俄罗斯数据主权,Russian data sovereignty
2,俄罗斯数据本地化,Russian data localization
2,俄罗斯个人信息保护,Russia Personal Information Protection
2,俄罗斯—中亚地区,Russia - Central Asia
2,宏观环境,Macro environment
2,滞胀,Stagflation
2,脱钩,decoupling
2,北极航运,Arctic Shipping
2,多层治理,Multi-layered governance
2,治理困境,governance dilemma
2,路径选择,Path Selection
2,北极安全合作,Arctic Security Cooperation
2,多元参与,Diverse participation
2,北极命运共同体,Arctic community with a shared future
2,油气资源,Oil and gas resources
2,暴乱,riot
2,能源问题,Energy issues
2,能源经济,energy economy
2,低碳经济,Low-carbon economy
2,经济社会改革,Economic and Social Reform
2,战略石油储备,Strategic Petroleum Reserve
2,非化石能源,non-fossil energy
2,化工行业,Chemical Industry
2,石油经济,oil economy
2,国际经济体系,international economic system
2,万事达卡,MasterCard
2,经济体,Economy
2,俄罗斯亚太外交,Russia's Asia-Pacific Diplomacy
2,俄韩关系,Russia-South Korea relations
2,俄蒙关系,Russia-Mongolia Relations
2,俄越关系,Russia-Vietnam relations
2,俄印关系,Russia-India relations
2,俄罗斯与东盟关系,Russia-ASEAN Relations
2,国家意愿,national will
2,多边平衡外交,Multilateral Balanced Diplomacy
2,新篇章,new chapter
2,黑河学院,Heihe College
2,国际交流合作,International exchange and cooperation
2,情报合作,intelligence cooperation
2,情报体系,intelligence system
2,情报外交,intelligence diplomacy
2,情报工作,intelligence work
2,建议,Suggest
2,战略三角,strategic triangle
2,中美俄,"China, America and Russia"
2,经济战,economic war
2,安全角,safety corner
2,金融战,financial war
2,能源危机,energy crisis
2,复杂网络,complex network
2,邻近性,proximity
2,qap,qap
2,大北极国家,great arctic country
2,出口总量,total export
2,经合组织,OECD
2,立方英尺,cubic feet
2,网络战略,network strategy
2,霸权护持,hegemonic support
2,模式转型,Mode transformation
2,威慑战略,deterrence strategy
2,“惩罚性威慑”,"""Punitive Deterrence"""
2,“拒止性威慑”,"""Deterrence of Denial"""
2,地区与国别政治,Regional and Country Politics
2,军事同盟,military alliance
2,治理体系,governance system
2,底层逻辑,underlying logic
2,太阳能,solar energy
2,煤炭供应,coal supply
2,可再生能源资源,Renewable Energy Resources
2,地区性,regional
2,供应中断,supply disruption
2,供需关系,Supply and demand
2,升级版,Upgraded version
2,俄罗斯中央银行,Central Bank of Russia
2,人民币,RMB
2,中国人民银行,People's Bank of China
2,移动支付,mobile payment
2,支付安全,payment security
2,数据安全制度,data security system
2,数据安全治理,Data Security Governance
2,2021年版《俄罗斯国家安全战略》,2021 edition of the Russian National Security Strategy
2,中俄安全合作,Sino-Russian Security Cooperation
2,中亚安全,Central Asia Security
2,政权安全,regime security
2,区域治理,Regional governance
2,地区秩序,Regional order
2,北极开发,Arctic development
2,北极安全博弈,Arctic Security Game
2,中俄北极合作,Sino-Russian Arctic Cooperation
2,军火出口,arms export
2,武器贸易,arms trade
2,军火市场,arms market
2,供应安全,security of supply
2,绿色经济,green economy
2,阿拉伯国家,Arabian countries
2,低碳技术创新,Low carbon technology innovation
2,可持续安全,sustainable security
2,战略通道,strategic channel
2,中国能源安全,China's energy security
2,储蓄银行,savings bank
2,如何应对,how to respond
2,解决措施,solution
2,s1m,s1m
2,共同周边,common periphery
2,竞争周边,Competing around
2,竞合周边,Competitive surrounding
2,中印关系,Sino-Indian Relations
2,周边外交,Peripheral diplomacy
2,swifi系统,swifi system
2,国家结算,national settlement
2,重要性,importance
2,应对方法,solution
2,原油期货价格,Crude Oil Futures Prices
2,国际石油价格,international oil prices
2,无铅汽油,Unleaded gasoline
2,加快推进,Accelerate
2,子公司,Subsidiary
2,地缘政治进取,Geopolitical Aggressiveness
2,新奥斯曼主义,Neo-Ottomanism
2,“2023战略愿景”,"""Strategic Vision 2023"""
2,“2053战略愿景”,"""2053 Strategic Vision"""
2,国家关系,State relations
2,推特,Twitter
2,社交强度,social intensity
2,外交互访,foreign exchange visit
2,关系网络,relationship network
2,数字化,Digitizing
2,互联网技术,Internet technology
2,“一带一盟”战略,"""One Belt, One Alliance"" Strategy"
2,合作方法与路径,Cooperation methods and paths
2,即时通信软件,instant messaging software
2,国产化替代,localization alternative
2,军工企业,Military business
2,办公软件,Office Software
2,rt电视台,rt tv
2,国家战略,National strategy
2,俄罗斯远东,Russian Far East
2,考古学,archeology
2,新进展,new progress
2,城址,city ​​site
2,中世纪,middle Ages
2,欧亚联盟,Eurasian Union
2,中俄日三角关系,China-Russia-Japan triangular relationship
2,东北亚区域格局,Northeast Asia Regional Pattern
2,第三方市场合作,Third-party market cooperation
2,五四新文化,May Fourth New Culture
2,知识界,intellectuals
2,俄国革命,Russian Revolution
2,二月革命,February Revolution
2,十月革命,October Revolution
2,学习苏俄,learn soviet russian
2,北极理事会,Arctic Council
2,模糊盟友,fuzzy ally
2,美土关系,U.S.-Turkish relations
2,联盟体系,Alliance system
2,中东安全,Middle East Security
2,国际奥委会主席,President of the International Olympic Committee
2,人道主义,humanitarian
2,联合国宪章,United Nations Charter
2,领土完整,territorial integrity
2,社会主义,socialism
2,基辅罗斯,Kievan Rus
2,产油国,oil producing countries
2,石油禁运,oil embargo
2,数据跨境流动,Data flow across borders
2,中国应对,China's response
2,地区安全公共产品,Regional Security Public Goods
2,中亚安全共同体,Central Asian Security Community
2,安全互动,Safe interaction
2,美欧关系,US-EU relations
2,中国—中东欧国家合作,China-CEEC Cooperation
2,国际仲裁,International Arbitration
2,放弃豁免条款,Waiver of Waiver
2,管辖豁免,immunity from jurisdiction
2,执行豁免,executive waiver
2,临时措施豁免,Temporary measures exemption
2,无人系统,unmanned system
2,作战能力,combat capability
2,武装直升机,military helicopter
2,反坦克导弹,anti-tank missile
2,国际石油公司,international oil companies
2,油气市场,Oil and Gas Market
2,石油出口国,oil exporter
2,石油和天然气,Petroleum and natural gas
2,油气业务,Oil and gas business
2,中国石油企业,Chinese oil companies
2,来源国,country of origin
2,油价波动,Oil price volatility
2,低油价,low oil prices
2,石油进口,oil imports
2,天然气市场,natural gas market
2,页岩油气革命,Shale oil and gas revolution
2,天然气需求,natural gas demand
2,国际数学联盟,International Mathematical Union
2,imu,imu
2,国际数学家大会,International Congress of Mathematicians
2,总司令部,Headquarters
2,作战指挥,combat command
2,指挥控制系统,command and control system
2,体系现状,System status
2,脱欧,Brexit
2,瑞典,Sweden
2,综合安全,Comprehensive security
2,案例研究,case study
2,冷战结束,end of the cold war
2,体系变迁,System change
2,安全框架,security framework
2,天然气消费,natural gas consumption
2,热电联产,Cogeneration
2,工业用气,industrial gas
2,管道气,pipeline gas
2,一次能源消费,primary energy consumption
2,中俄东线,Sino-Russian East Line
2,原油储备,Crude oil reserves
2,lng,lng
2,石油进口国,oil importing country
2,原油进口,Crude oil imports
2,天然气生产,natural gas production
2,冲击与影响,impact and impact
2,本体安全,Ontology safety
2,奥斯曼帝国,Ottoman Empire
2,怀旧,nostalgic
2,埃尔多安,Erdogan
2,中东变局,Changes in the Middle East
2,大图们江国际合作,Greater Tumen River International Cooperation
2,东北亚局域合作,Northeast Asia Regional Cooperation
2,东北亚局域发展战略,Northeast Asia Regional Development Strategy
2,中央工业区,Central Industrial Zone
2,国家防御指挥中心,National Defense Command Center
2,战略指挥工程,strategic command project
2,信息化战争,information warfare
2,俄罗斯对冲,russian hedging
2,俄罗斯外交再平衡,Russian Diplomacy Rebalancing
2,俄罗斯外交新工具,A new tool for Russian diplomacy
2,金融机构,Financial institution
2,支付系统,payment system
2,欧洲银行业,European Banking
2,油气政策,Oil and Gas Policy
2,资源国,resource country
2,消费国,consumer country
2,能源治理,energy governance
2,德左冲突,German-Left Conflict
2,纳卡冲突,Naka conflict
2,顿巴斯冲突,Donbas conflict
2,跨境反恐,cross-border counter-terrorism
2,法律政策,Legal Policy
2,舆论,public opinion
2,全球能源危机,global energy crisis
2,能源价格,energy price
2,价格预测,price forecast
2,欧亚战略空间,Eurasian Strategic Space
2,大欧亚伙伴关系,Greater Eurasian Partnership
2,文化合作,cultural cooperation
2,地区治理,Regional governance
2,治理模式,governance model
2,规则治理,rule governance
2,关系治理,relationship governance
2,国际格局,International Structure
2,世界秩序,world order
2,治理赤字,governance deficit
2,话语互动,discursive interaction
2,国际能源政治,international energy politics
2,新型能源安全,new energy security
2,《巴黎协定》,Paris Agreement
2,全球气候治理,global climate governance
2,军事情报,military intelligence
2,总参谋部情报总局,General Staff Intelligence Directorate
2,网络部队,cyber force
2,网络行动,cyber action
2,疫苗可及性,Vaccine Accessibility
2,国家安全例外,National Security Exception
2,基本安全利益,essential security interests
2,国际知识产权,International Intellectual Property
2,白令海峡区域,Bering Strait area
2,冰上丝绸之路,Silk Road on Ice
2,能源地缘政治格局,Energy Geopolitical Landscape
2,中俄亚马尔lng项目,Sino-Russian Yamal LNG Project
2,民族认同,national identity
2,国家认同,national identity
2,自决权,right to self-determination
2,“脱乌入俄”,"""Leaving Ukraine into Russia"""
2,国防预算,defense budget
2,国防采购,defense procurement
2,俄罗斯媒体,Russian media
2,战略自主,strategic autonomy
2,联合领导,joint leadership
2,法德轴心,Franco-German axis
2,中国政治与外交,Chinese politics and diplomacy
2,中国近代史,Modern Chinese History
2,清俄关系,Sino-Russian relations
2,《尼布楚条约》,Treaty of Nerchinsk
2,“不平等条约”,"""unequal treaties"""
2,叙事,narrative
2,国际中文教育,International Chinese Education
2,中文纳入国民教育体系,Chinese is incorporated into the national education system
2,俄罗斯国民教育体系,Russian national education system
2,纳入现状与特征,Inclusion status and characteristics
2,载人航天,manned space flight
2,月球,Moon
2,深空,Deep space
2,综合安全观,Comprehensive Security Concept
2,新版国家安全战略,New National Security Strategy
2,空天政策,Air and Space Policy
2,非对称性威慑,asymmetric deterrence
2,实战能力,combat capability
2,创新,innovation
2,彼得罗夫斯基,Petrovsky
2,中亚大博弈,The Great Game of Central Asia
2,结构性困境,structural dilemma
2,中俄经贸合作,Sino-Russian Economic and Trade Cooperation
2,现状,status quo
2,原因分析,Cause Analysis
2,转基因,GMO
2,技术,technology
2,产品,product
2,经济,economy
2,社会,society
2,国家发展,national development
2,“链式经济”,"""Chain Economy"""
2,部长级会议,ministerial meeting
2,国际石油市场,international oil market
2,战略威慑,strategic deterrence
2,人工智能技术,artificial intelligence technology
2,军事战略,military strategy
2,亚美尼亚人,Armenian
2,俄罗斯对外情报局,Russian Foreign Intelligence Service
2,高加索地区,Caucasus
2,工伤赔偿,Workers' Compensation
2,作业场所,workplace
2,防灾减灾,Disaster Prevention and Mitigation
2,战略收缩,strategic contraction
2,印象管理,Impression management
2,克制,restraint
2,决心,determination
2,俄罗斯三防部队,Russian three defense forces
2,世界政治经济格局,world political economy
2,区域建制,Regional establishment
2,核能政策,nuclear energy policy
2,国家能源主权,national energy sovereignty
2,国际核能合作,International Nuclear Energy Cooperation
2,全球卫生,global health
2,政府间协议,intergovernmental agreement
2,多边合作,Multilateral cooperation
2,阿尔忒弥斯,Artemis
2,欧洲航天局,European Space Agency
2,数字化转型,digital transformation
2,俄罗斯对外战略,Russia's foreign strategy
2,战后重建,post-war reconstruction
2,俄叙关系,Russia-Syria relations
2,国际武器贸易,international arms trade
2,分析中心,Analysis Center
2,限制的绝对豁免,Absolute Exemption from Restrictions
2,限制豁免,Restricted Exemption
2,对等原则,Equivalence principle
2,滥诉,abuse
2,领土问题,territorial issues
2,安全观,safety concept
2,安全体系,security system
2,东北亚国际关系,Northeast Asia International Relations
2,最“狂”气价,"The most ""crazy"" gas price"
2,减产?增产?,Decrease? Increase?
2,抹掉“石油”标签,"Erase the ""petroleum"" label"
2,脱碳!净零!,Decarbonize! Net Zero!
2,押注绿氢发展,Betting on the development of green hydrogen
2,北溪-2,North Stream-2
2,世纪堵船,century ship jam
2,释放原油储备,Free up crude oil reserves
2,通用一拆三,Universal one to three
2,黑客袭美,Hackers attack America
2,普罗科菲耶夫,Prokofiev
2,国际音乐比赛,International Music Competition
2,四川音乐学院,Sichuan Music College
2,优秀人才,Excellent talent
2,气候治理,climate governance
2,《中导条约》,The Intermediate-Range Nuclear Forces Treaty
2,核秩序,nuclear order
2,构建人类命运共同体,Building a community with a shared future for mankind
2,联盟理论,alliance theory
2,弱链式联盟,Weak chain alliance
2,非正式联盟,informal union
2,中东研究,Middle East Studies
2,人才培养,talent development
2,职业教育,vocational education
2,课程设置,Curriculum
2,高超音速导弹,hypersonic missile
2,军备竞赛,arms race
2,不稳定因素,unstable factor
2,反舰导弹,anti-ship missile
2,不确定风险,Uncertainty Risk
2,高等教育国际化,Internationalization of Higher Education
2,教育法典,Education Code
2,法典化,codification
2,能源通道,energy channel
2,跨境运输,Cross-border transportation
2,亚太安全,Asia Pacific Security
2,地区安全稳定机制,Regional Security and Stability Mechanism
2,扶助外交,Aid diplomacy
2,新型国际关系,new international relations
2,国际伦理,international ethics
2,新中国外交,New China Diplomacy
2,索契冬奥会,Sochi Winter Olympics
2,安保工作,Security work
2,高度重视,highly valued
2,国立科研机构,national research institute
2,军工科研院所,Military Research Institute
2,运行管理,Operation management
2,开放共享,open sharing
2,协同创新,Collaborative Innovation
2,太空安全,space security
2,太空外交倡议,Space Diplomacy Initiative
2,“欧洲选择”,"""European Choice"""
2,大欧亚,Greater Eurasia
2,战略依托,strategic support
2,战略性矿产,strategic minerals
2,资源安全,Resource security
2,价格,price
2,实用主义,pragmatism
2,俄罗斯自由贸易协定,Russian Free Trade Agreement
2,俄罗斯自由贸易伙伴,russian free trade partner
2,反卫星武器,anti-satellite weapons
2,反卫星系统,anti-satellite system
2,东向政策,eastward policy
2,产业,industry
2,主发动机,main engine
2,应用能力,Application Ability
2,俄拉关系,Russian-Latin Relations
2,普里马科夫主义,Primakovism
2,地区融合,Regional integration
2,氢能源,Hydrogen energy
2,国家杜马,State Duma
2,指挥体制,command system
2,总参谋部,General Staff
2,战争决策,war decision
2,联合作战指挥,joint operations command
2,司令部,headquarters
2,空军部队,air force
2,国际海事组织,IMO
2,国际海运,International Chamber of Shipping
2,斯普特尼克,Sputnik
2,卫星通讯社,satellite news agency
2,新冠疫苗,new crown vaccine
2,属性议程设置,property agenda setting
2,水下攻防武器,underwater offensive and defensive weapons
2,能源动力系统,energy power system
2,鱼雷,torpedo
2,无人水下航行器,unmanned underwater vehicle
2,俄军,Russian Army
2,首都地区,Capital Region
2,军民协同,Military-civilian coordination
2,军民两用技术,dual-use technology
2,时变量化,time variable
2,反制裁措施,countermeasures
2,世界秩序建构,world order construction
2,气象局,Bureau of Meteorology
2,战略合作框架协议,Strategic cooperation framework agreement
2,大国复兴,Great Power Revival
2,民生,people's livelihood
2,“向东转”,"""Turn East"""
2,瓦尔代俱乐部,Valdai Club
2,国际话语权,international voice
2,莫迪政府,Modi government
2,欧亚大陆,Eurasia
2,能源互补,Complementary energy
2,多维多边合作,Multidimensional and multilateral cooperation
2,危机管理机制,crisis management mechanism
2,国际收支,balance of payments
2,汇率制度,Exchange Rate System
2,风险事件,risk event
2,《俄罗斯东欧中亚研究》,"""Russian East Europe and Central Asia Studies"""
2,座谈会,forum
2,无人机领域,UAV field
2,制导炸弹,guided bomb
2,猎户座,Orion
2,察打无人机,Chasing drones
2,光学瞄准镜,optical sight
2,外骨骼,Exoskeleton
2,总统选举,President election
2,明斯克,minsk
2,联合国安理会,United Nations Security Council
2,否决权,veto power
2,维和人员,peacekeepers
2,和平与安全,peace and security
2,联合国维和行动,United Nations peacekeeping
2,中俄贸易,Sino-Russian trade
2,中间产品,Intermediate product
2,内涵能源,Intrinsic energy
2,欧亚地区国家,Eurasian countries
2,服务舱,service cabin
2,泄漏点,leak point
2,空气泄漏,air leak
2,事件分析,event analysis
2,判理稳定性,Judicial stability
2,icj,icj
2,晚近案例,Recent cases
2,天然气安全,gas safety
2,双循环,double loop
2,需求侧改革,demand side reform
2,多元化,Diversification
2,跨境管道,Cross-border pipeline
2,应急能力,emergency capability
2,吉尔吉斯斯坦,Kyrgyzstan
2,政权稳定,regime stability
2,国际竞争,international competition
2,建构,construct
2,国外区域学,study abroad
2,专业培养特色,Professional training features
2,教学培养方案,Teaching training program
2,精英阶层,Elite level
2,地缘安全,Geosecurity
2,地缘战略,geostrategic
2,海洋研究,marine research
2,海洋科技,Ocean Technology
2,政策分析,policy Analysis
2,可替代,Alternative
2,今日俄罗斯,Russia Today
2,“磁性协调”,"""Magnetic Coordination"""
2,中东战略,Middle East Strategy
2,跨大西洋关系,Transatlantic Relations
2,俄罗斯对欧政策,Russia's European Policy
2,空天安全,Air and Space Safety
2,空天装备,Aerospace equipment
2,空天防御体系,Aerospace Defense System
2,装备建设,equipment construction
2,安全化,security
2,中国参与,Chinese participation
2,治理,Governance
2,混合战,mixed warfare
2,全球教育治理,Global Education Governance
2,国际教育援助,International Education Assistance
2,国际教育合作,International Education Cooperation
2,军事博弈,military game
2,地位承认,Status recognition
2,霸权竞争,hegemonic competition
2,和平变迁,peaceful change
2,国防科技工业,National Defense Technology Industry
2,国防科工委,"National Defense Science, Technology and Industry Committee"
2,体制改革,Institutional reform
2,两极,poles
2,东西方体系,East-West system
2,自由主义,Liberalism
2,特种装备,Special equipment
2,攻击直升机,attack helicopter
2,断网,disconnected
2,网络空间命运共同体,community of shared future in cyberspace
2,贸易隐含能源,trade implied energy
2,网络形成机制,network formation mechanism
2,网络地位,network status
2,产业发展,Industrial Development
2,安全博弈,security game
2,策略方式,strategic approach
2,海军陆战队,Marines
2,中国海军,Chinese navy
2,选择性互动外交,selective interactive diplomacy
2,欧洲地缘政治,European geopolitics
2,乌克兰国家身份,Ukrainian national identity
2,乌克兰内政与外交,Ukraine's domestic and foreign affairs
2,乌克兰地区一体化,Ukrainian Regional Integration
2,独联体国家,CIS countries
2,《反恐怖主义法》,Anti-Terrorism Act
2,法律框架,legal framework
2,共同特征,Common feature
2,存在的挑战,Existing challenges
2,中国出口信用保险公司,China Export & Credit Insurance Corporation
2,所得税,income tax
